# t(s) W_ledbat(bytes)
10.039453  65535
10.152234  65535
10.219258  65519
10.225716  65487
10.227888  65471
10.233786  65332
10.236378  65262
10.241143  65122
10.243795  65052
10.247741  64912
10.250153  64842
10.256431  64603
10.258543  64484
10.262748  64244
10.266633  64124
10.268366  65489
10.270938  63828
10.273330  63679
10.274963  65466
10.277116  65420
10.279488  63381
10.281720  65382
10.283713  65306
10.285925  63231
10.287558  65268
10.289311  62931
10.291443  62780
10.293596  62466
10.296008  62309
10.297901  65139
10.300173  65075
10.301826  61993
10.304198  64946
10.306710  61834
10.309887  64864
10.311960  64699
10.314612  61447
10.317064  61253
10.319077  64616
10.321250  60862
10.323382  64414
10.325255  64313
10.327727  60666
10.329900  60213
10.332552  59985
10.334365  59527
10.336837  64110
10.339389  63982
10.341422  63724
10.343774  59237
10.345947  58655
10.348219  63595
10.350152  63311
10.352624  63169
10.354597  58361
10.356650  62884
10.358842  57770
10.361334  62729
10.362987  62417
10.364560  57472
10.366173  56712
10.368725  62260
10.370458  56327
10.372950  55552
10.375142  55159
10.376995  61933
10.378668  54367
10.380241  53920
10.381834  61769
10.385025  53019
10.387177  61440
10.388870  61265
10.390563  52561
10.392895  60914
10.395447  51636
10.398019  60738
10.399792  51166
10.401805  50216
10.403917  60365
10.405550  49676
10.407303  48584
10.408876  60178
10.411987  47932
10.413620  59802
10.415293  46609
10.417106  59590
10.420297  45929
10.421950  59165
10.424202  44549
10.426914  43838
10.429007  42392
10.431439  58951
10.433272  58482
10.435704  58246
10.437317  41578
10.439270  39663
10.441862  57771
10.444354  57529
10.446067  57042
10.448239  38660
10.450072  36601
10.452784  35514
10.454357  33272
10.456489  56797
10.458082  32076
10.459755  56263
10.462227  55994
10.464140  55452
10.466672  55151
10.468625  54545
10.470777  54239
10.472410  29594
10.474103  53623
10.477314  28094
10.479247  24934
10.481919  53312
10.483992  52685
10.486204  23154
10.488097  52357
10.490090  51697
10.492382  51363
10.494555  50690
10.497227  50349
10.499080  19320
10.501532  49662
10.505127  17023
10.507739  11683
10.509931  49314
10.511944  48613
10.514616  7371
10.517108  2920
10.519480  48258
10.523006  65535
10.525378  47478
10.534447  47082
10.538033  46282
10.549395  45876
10.551428  45055
10.556013  44637
10.560438  43776
10.567075  43337
10.575726  42451
10.578018  41981
10.582343  41029
10.584715  40542
10.618863  39376
10.622229  38776
10.626853  37557
10.633970  36928
10.641772  35648
10.645997  34985
10.647790  33546
10.654907  32796
10.656740  31261
10.665829  30253
10.667982  28170
10.675219  27052
10.680777  24680
10.682610  23380
10.692007  20635
10.694159  19024
10.696272  15529
10.702877  13388
10.704550  8048
10.712106  3607
10.713919  2920
11.011044  65535
11.016902  65527
11.023799  65523
11.030017  65515
11.104441  65520
11.106454  65531
11.108966  65535
11.153735  65535
11.296757  65535
11.376499  65534
11.381024  65532
11.393879  65531
11.400676  65528
11.403028  65527
11.406794  65524
11.410879  65515
11.415024  65496
11.422959  65487
11.428877  65460
11.435015  65447
11.443705  65420
11.447710  65400
11.449723  65359
11.451915  65338
11.466843  65296
11.475813  65275
11.477666  65233
11.489572  65213
11.491325  65173
11.493457  65153
11.495170  65116
11.497742  65098
11.499615  65061
11.504479  65044
11.506452  65009
11.512889  64992
11.523612  64957
11.530389  64940
11.532502  64905
11.539659  64888
11.577478  64853
11.587141  64836
11.593718  64801
11.603367  64784
11.615923  64749
11.620707  64725
11.631278  64677
11.642320  64653
11.648098  64595
11.656169  64566
11.666943  64508
11.681376  64458
11.688868  64357
11.694586  64307
11.711768  64207
11.715134  64157
11.719881  64057
11.736438  64007
11.738251  63906
11.740543  65535
11.746461  63856
11.759016  63755
11.765114  63705
11.777649  63604
11.795648  63554
11.797641  63453
11.799993  63402
