# t(s) W_ledbat(bytes)
10.041572  65535
10.164540  65535
10.313055  65535
10.480321  65534
10.484846  65532
10.487298  65531
10.495029  65529
10.498974  65528
10.509924  65526
10.512336  65531
10.515931  65529
10.517804  65525
10.522029  65525
10.524741  65515
10.526853  65510
10.532831  65500
10.535383  65495
10.541161  65521
10.542774  65512
10.544886  65485
10.549670  65508
10.551563  65480
10.555429  65459
10.557861  65470
10.559454  65465
10.571103  65436
10.578420  65422
10.580333  65435
10.584299  65386
10.586491  65393
10.588863  65379
10.590896  65350
10.593088  65336
10.595021  65361
10.599106  65311
10.601798  65307
10.604350  65293
10.606363  65264
10.608975  65286
10.612741  65236
10.615433  65250
10.617326  65221
10.619518  65211
10.621351  65207
10.623184  65161
10.625596  65178
10.629421  65136
10.634770  65164
10.636543  65086
10.641547  65061
10.643400  65135
10.645792  65000
10.650557  65121
10.655122  65092
10.657634  64970
10.659647  65078
10.661780  64909
10.666305  64876
10.667878  65038
10.672762  65018
10.674475  64970
10.678720  64946
10.680853  64898
10.683145  64874
10.685058  65528
10.687430  64826
10.689582  64809
10.691635  65525
10.694027  64802
10.696140  65518
10.698292  64776
10.700025  64709
10.701678  64676
10.704350  64609
10.708322  64576
10.710295  64723
10.712447  64509
10.714220  64684
10.716073  64476
10.718665  64605
10.721377  65509
10.723070  64408
10.725362  65491
10.727874  64374
10.729587  64566
10.731160  65482
10.732733  64306
10.735425  64271
10.737258  64201
10.739970  64487
10.743301  64448
10.745494  65535
10.750059  64368
10.755143  65464
10.757535  64328
10.759528  64235
10.762040  64166
10.763793  64096
10.768398  64188
10.770211  65455
10.776429  64061
10.778482  64094
10.780594  64047
10.786123  65437
10.788256  65425
10.793008  65400
10.797113  63953
10.799385  63991
10.801697  65388
10.805962  63906
10.807635  63811
10.809308  63956
10.811880  63764
10.814073  63656
10.818325  63886
10.820497  63602
10.822170  65357
10.823883  63494
10.827054  65342
10.830500  63851
10.832433  65311
10.834985  63429
10.836978  65288
10.838751  63298
10.841163  63233
10.843056  63080
10.845208  65241
10.846861  65218
10.850497  63781
10.852390  63003
10.854982  62849
10.857554  65156
10.860126  62771
10.861779  65125
10.863872  65063
10.866044  62615
10.870060  62537
10.871653  65027
10.873746  62372
10.876398  64954
10.878730  63746
10.880403  64918
10.882496  62289
10.884129  63676
10.886821  62123
10.889033  64843
10.891285  64806
10.892958  63634
10.894531  62040
10.896204  64731
10.898396  61873
10.901008  63549
10.902721  61789
10.906356  61618
10.908948  61532
10.911600  63507
10.913713  63398
10.915825  63344
10.917758  61360
10.920170  63235
10.922422  63173
10.924015  61274
10.925948  64694
10.927581  61101
10.930053  61015
10.931766  64619
10.934198  60837
10.936590  63049
10.939102  64582
10.941235  60748
10.943248  62987
10.944961  64507
10.947653  60570
10.949905  62853
10.951498  60479
10.954070  62786
10.955783  62652
10.958495  64469
10.960068  60297
10.962440  60206
10.964213  62585
10.965806  64393
10.968318  60021
10.970970  64355
10.972683  62450
10.974855  64279
10.977247  62383
10.978880  62248
10.981252  64241
10.982925  62181
10.984818  59929
10.986791  64149
10.989163  62046
10.991775  64103
10.993488  64010
10.996180  59743
10.998492  61973
11.000085  59650
11.002198  61827
11.004810  61754
11.006763  61605
11.009455  59463
11.012127  61531
11.014160  63962
11.016293  59370
11.017886  63865
11.020238  63817
11.022051  59180
11.023644  59085
11.026256  58894
11.028588  61382
11.030501  58798
11.033472  61307
11.035125  58605
11.037557  61156
11.039969  63715
11.042763  63664
11.045378  58508
11.047011  63562
11.049723  61080
11.051776  58294
11.056441  58187
11.058234  60927
11.061999  57972
11.066583  63511
11.070668  63408
11.074593  57860
11.076446  60850
11.078459  57635
11.083723  57523
11.085496  57295
11.087908  57181
11.089481  56952
11.092093  56833
11.093866  56595
11.096578  56476
11.098651  60696
11.100843  60619
11.102856  56235
11.105328  63356
11.109434  63246
11.112106  56114
11.113939  60465
11.116391  63191
11.117964  63080
11.122748  55872
11.124641  60388
11.127173  63025
11.128846  60233
11.131518  55751
11.135024  60156
11.139109  55507
11.145966  55385
11.149852  60000
11.152104  55140
11.157028  59918
11.159780  55017
11.161413  59753
11.163685  65535
11.166197  54770
11.168789  59670
11.172515  54646
11.174248  62914
11.176700  54397
11.179232  62859
11.181165  59476
11.185949  59379
11.187622  54272
11.189615  62748
11.192167  59184
11.194419  62693
11.196252  62582
11.201981  59079
11.203754  62522
11.205347  62402
11.208059  54005
11.210771  58869
11.213343  58764
11.215076  62342
11.219141  58541
11.221693  53871
11.225519  62214
11.228051  58429
11.229904  53602
11.232316  62150
11.237141  53461
11.239134  53178
11.241446  53036
11.245492  58204
11.247864  52740
11.254425  52591
11.256298  58086
11.258710  52292
11.260503  57849
11.263155  52137
11.265028  62022
11.267999  57730
11.270671  57489
11.272903  51825
11.274796  51668
11.277268  51345
11.278981  61947
11.283913  61796
11.286105  51183
11.287978  50857
11.289671  61721
11.292123  50693
11.293876  57368
11.296049  61567
11.298521  61490
11.300454  61335
11.302626  61255
11.304459  57125
11.307530  61093
11.312714  50364
11.317539  61012
11.319412  57003
11.321185  56759
11.323437  50199
11.325070  60821
11.331461  56637
11.333214  60726
11.337699  60534
11.349081  60436
11.350994  60240
11.352567  60142
11.369858  59945
11.379894  49863
11.384179  59846
11.385892  49694
11.392497  49354
11.394629  59648
11.399813  49183
11.403479  56391
11.405711  59545
11.407284  48839
11.409796  59339
11.412428  59236
11.414201  48666
11.415794  48318
11.418106  48143
11.419819  56268
11.421612  47791
11.423764  59027
11.426036  47584
11.427709  47168
11.435223  56021
11.437535  46958
11.439188  55897
11.440761  55648
